90	1	64
73	56	56
60	55	55
58	54	54
67	53	53
12	29	30
71	38	38
70	18	18
11	23	28
8	10	14
40	29	29
69	17	17
10	20	22
35	20	20
64	13	13
5	1	4
72	27	27
33	10	12
68	16	16
9	15	19
39	26	26
77	11	11
18	35	35
28	1	1
29	2	2
88	5	5
52	3	3
30	5	6
89	5	7
17	34	34
76	57	57
34	15	15
63	33	33
4	37	50
7	8	9
61	31	31
32	8	8
74	10	10
15	61	61
38	25	25
62	32	32
3	8	14	29	30	34	36
51	21	21
21	40	41
36	23	23
56	42	42
37	24	24
22	42	43
23	44	44
24	45	45
25	46	46
26	47	47
27	48	48
54	49	49
19	37	37
78	58	59
75	58	58
16	62	62
20	38	39
14	60	60
59	40	40
53	63	63
50	51	51
55	52	52
